,x,y,name,1128,1307,1131,1070,1107,1139,1145,1092,1140,1138,1129,1122,1399,1311,1200,1692,1105,1103,1433,1121,1137,1309,1658,1654,1134,1054,1308,1167,1507,1651,1117,1383,1414,1360,1106,1132,1404,1259,1344,1642,1412,1244,1403
39,1488,,/Users/akshitshishodia/tracker/roboDK /pred/39.png,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1472,,/Users/akshitshishodia/tracker/roboDK /pred/40.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1472,,/Users/akshitshishodia/tracker/roboDK /pred/41.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1472,,/Users/akshitshishodia/tracker/roboDK /pred/42.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1472,,/Users/akshitshishodia/tracker/roboDK /pred/43.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1488,,/Users/akshitshishodia/tracker/roboDK /pred/44.png,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1488,,/Users/akshitshishodia/tracker/roboDK /pred/45.png,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1488,,/Users/akshitshishodia/tracker/roboDK /pred/46.png,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1472,,/Users/akshitshishodia/tracker/roboDK /pred/47.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1469,,/Users/akshitshishodia/tracker/roboDK /pred/48.png,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1472,,/Users/akshitshishodia/tracker/roboDK /pred/49.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1469,,/Users/akshitshishodia/tracker/roboDK /pred/50.png,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1472,,/Users/akshitshishodia/tracker/roboDK /pred/51.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1477,,/Users/akshitshishodia/tracker/roboDK /pred/52.png,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1488,,/Users/akshitshishodia/tracker/roboDK /pred/53.png,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1488,,/Users/akshitshishodia/tracker/roboDK /pred/54.png,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1472,,/Users/akshitshishodia/tracker/roboDK /pred/55.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1488,,/Users/akshitshishodia/tracker/roboDK /pred/56.png,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1472,,/Users/akshitshishodia/tracker/roboDK /pred/57.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1472,,/Users/akshitshishodia/tracker/roboDK /pred/58.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1470,,/Users/akshitshishodia/tracker/roboDK /pred/59.png,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1470,,/Users/akshitshishodia/tracker/roboDK /pred/60.png,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1472,,/Users/akshitshishodia/tracker/roboDK /pred/61.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1472,,/Users/akshitshishodia/tracker/roboDK /pred/62.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1472,,/Users/akshitshishodia/tracker/roboDK /pred/63.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1488,,/Users/akshitshishodia/tracker/roboDK /pred/64.png,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
